Member State,Member State Code,Category,Year,Month,Thousand tonnes
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,May,3.23
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,June,3.02
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,July,2.83
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,August,2.65
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,September,2.59
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,October,2.96
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,November,2.90
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,December,2.90
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,January,3.23
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,February,3.14
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,March,3.42
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,April,3.10
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,May,3.32
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,June,2.71
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,July,2.67
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,August,2.56
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,September,2.62
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,October,3.15
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,November,3.25
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,December,3.48
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,January,3.20
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,February,3.24
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,March,3.30
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,April,3.16
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,May,3.11
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,June,2.87
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,July,2.52
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,August,2.57
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,September,2.46
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,October,2.63
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,November,2.68
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,December,2.91
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,January,2.90
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,February,2.57
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,March,2.95
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,April,3.17
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,May,2.74
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,June,2.76
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,July,2.76
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,August,2.49
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,September,2.62
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,October,2.93
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,November,2.81
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,December,2.96
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,January,3.44
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,February,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,March,3.13
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,April,3.03
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,May,3.33
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,June,2.56
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,July,2.75
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,August,2.35
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,September,2.57
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,October,2.78
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,November,2.70
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,December,2.64
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,January,2.96
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,February,2.95
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,March,2.99
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,April,3.20
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,May,2.96
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,June,2.49
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,July,2.66
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,August,2.37
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,September,2.57
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,October,3.13
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,November,3.16
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2013,December,3.10
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,January,3.29
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,February,3.10
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,March,3.45
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,April,3.25
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,May,3.13
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,June,2.84
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,July,2.57
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,August,2.59
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,September,2.18
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,October,2.85
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,November,2.94
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2012,December,2.78
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,January,3.05
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,February,2.72
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,March,3.05
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,April,2.99
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,May,3.04
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,June,2.54
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,July,2.69
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,August,2.57
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,September,2.28
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,October,2.93
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,November,3.28
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,December,3.28
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,January,3.14
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,February,2.79
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,March,2.90
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,April,3.00
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,May,2.90
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,June,2.78
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,July,2.50
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,August,2.32
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,September,2.44
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,October,2.78
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,November,2.58
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,December,3.06
