Statistic Label,Year,Domestic or Import Source,UNIT,VALUE
Fat Content,2001,Domestic,%,3.74
Fat Content,2001,Import,%,
Fat Content,2002,Domestic,%,3.73
Fat Content,2002,Import,%,
Fat Content,2003,Domestic,%,3.73
Fat Content,2003,Import,%,
Fat Content,2004,Domestic,%,3.75
Fat Content,2004,Import,%,
Fat Content,2005,Domestic,%,3.77
Fat Content,2005,Import,%,
Fat Content,2006,Domestic,%,3.75
Fat Content,2006,Import,%,
Fat Content,2007,Domestic,%,3.79
Fat Content,2007,Import,%,
Fat Content,2008,Domestic,%,3.82
Fat Content,2008,Import,%,
Fat Content,2009,Domestic,%,3.83
Fat Content,2009,Import,%,
Fat Content,2010,Domestic,%,3.85
Fat Content,2010,Import,%,
Fat Content,2011,Domestic,%,3.89
Fat Content,2011,Import,%,
Fat Content,2012,Domestic,%,3.94
Fat Content,2012,Import,%,
Fat Content,2013,Domestic,%,3.94
Fat Content,2013,Import,%,
Fat Content,2014,Domestic,%,3.98
Fat Content,2014,Import,%,
Fat Content,2015,Domestic,%,4.03
Fat Content,2015,Import,%,
Fat Content,2016,Domestic,%,4.1
Fat Content,2016,Import,%,
Fat Content,2017,Domestic,%,4.09
Fat Content,2017,Import,%,
Fat Content,2018,Domestic,%,4.14
Fat Content,2018,Import,%,
Fat Content,2019,Domestic,%,4.17
Fat Content,2019,Import,%,
Fat Content,2020,Domestic,%,4.2
Fat Content,2020,Import,%,
Fat Content,2021,Domestic,%,4.23
Fat Content,2021,Import,%,
Protein Content,1992,Domestic,%,3.21
Protein Content,1992,Import,%,
Protein Content,1993,Domestic,%,3.2
Protein Content,1993,Import,%,
Protein Content,1994,Domestic,%,3.2
Protein Content,1994,Import,%,
Protein Content,1995,Domestic,%,3.24
Protein Content,1995,Import,%,
Protein Content,1996,Domestic,%,3.21
Protein Content,1996,Import,%,
Protein Content,1997,Domestic,%,3.21
Protein Content,1997,Import,%,
Protein Content,1998,Domestic,%,3.24
Protein Content,1998,Import,%,
Protein Content,1999,Domestic,%,3.25
Protein Content,1999,Import,%,
Protein Content,2000,Domestic,%,3.27
Protein Content,2000,Import,%,
Protein Content,2001,Domestic,%,3.28
Protein Content,2001,Import,%,
Protein Content,2002,Domestic,%,3.27
Protein Content,2002,Import,%,
Protein Content,2003,Domestic,%,3.3
Protein Content,2003,Import,%,
Protein Content,2004,Domestic,%,3.3
Protein Content,2004,Import,%,
Protein Content,2005,Domestic,%,3.3
Protein Content,2005,Import,%,
Protein Content,2006,Domestic,%,3.3
Protein Content,2006,Import,%,
Protein Content,2007,Domestic,%,3.32
Protein Content,2007,Import,%,
Protein Content,2008,Domestic,%,3.34
