STATISTIC,Statistic Label,TLIST(A1),Year,C02064V02491,Product Type,UNIT,VALUE
ABA02C01,Usable Dairy Production,2005,2005,11,Drinking Milk & Buttermilk,Tonnes,575
ABA02C01,Usable Dairy Production,2006,2006,3,Cheese,Tonnes,137
ABA02C01,Usable Dairy Production,2006,2006,4,Butter,Tonnes,144
ABA02C01,Usable Dairy Production,2006,2006,5,Cream,Tonnes,22
ABA02C01,Usable Dairy Production,2006,2006,6,Milk Powder,Tonnes,108
ABA02C01,Usable Dairy Production,2006,2006,11,Drinking Milk & Buttermilk,Tonnes,579
ABA02C01,Usable Dairy Production,2007,2007,3,Cheese,Tonnes,140
ABA02C01,Usable Dairy Production,2007,2007,4,Butter,Tonnes,146
ABA02C01,Usable Dairy Production,2007,2007,5,Cream,Tonnes,22
ABA02C01,Usable Dairy Production,2007,2007,6,Milk Powder,Tonnes,117
ABA02C01,Usable Dairy Production,2007,2007,11,Drinking Milk & Buttermilk,Tonnes,582
ABA02C01,Usable Dairy Production,2008,2008,3,Cheese,Tonnes,175
ABA02C01,Usable Dairy Production,2008,2008,4,Butter,Tonnes,129
ABA02C01,Usable Dairy Production,2008,2008,5,Cream,Tonnes,22
ABA02C01,Usable Dairy Production,2008,2008,6,Milk Powder,Tonnes,88
ABA02C01,Usable Dairy Production,2008,2008,11,Drinking Milk & Buttermilk,Tonnes,572
ABA02C01,Usable Dairy Production,2009,2009,3,Cheese,Tonnes,163
ABA02C01,Usable Dairy Production,2009,2009,4,Butter,Tonnes,126
ABA02C01,Usable Dairy Production,2009,2009,5,Cream,Tonnes,21
ABA02C01,Usable Dairy Production,2009,2009,6,Milk Powder,Tonnes,100
ABA02C01,Usable Dairy Production,2009,2009,11,Drinking Milk & Buttermilk,Tonnes,543
ABA02C01,Usable Dairy Production,2010,2010,3,Cheese,Tonnes,172
ABA02C01,Usable Dairy Production,2010,2010,4,Butter,Tonnes,138
ABA02C01,Usable Dairy Production,2010,2010,5,Cream,Tonnes,21
ABA02C01,Usable Dairy Production,2010,2010,6,Milk Powder,Tonnes,94
ABA02C01,Usable Dairy Production,2010,2010,11,Drinking Milk & Buttermilk,Tonnes,541
ABA02C01,Usable Dairy Production,2011,2011,3,Cheese,Tonnes,180
ABA02C01,Usable Dairy Production,2011,2011,4,Butter,Tonnes,149
ABA02C01,Usable Dairy Production,2011,2011,5,Cream,Tonnes,21
ABA02C01,Usable Dairy Production,2011,2011,6,Milk Powder,Tonnes,105
ABA02C01,Usable Dairy Production,2011,2011,11,Drinking Milk & Buttermilk,Tonnes,544
ABA02C02,Dairy Imports,1992,1992,3,Cheese,Tonnes,15
ABA02C02,Dairy Imports,1992,1992,4,Butter,Tonnes,2
ABA02C02,Dairy Imports,1992,1992,5,Cream,Tonnes,4
ABA02C02,Dairy Imports,1992,1992,6,Milk Powder,Tonnes,2
ABA02C02,Dairy Imports,1992,1992,11,Drinking Milk & Buttermilk,Tonnes,1
ABA02C02,Dairy Imports,1993,1993,3,Cheese,Tonnes,13
ABA02C02,Dairy Imports,1993,1993,4,Butter,Tonnes,2
ABA02C02,Dairy Imports,1993,1993,5,Cream,Tonnes,1
ABA02C02,Dairy Imports,1993,1993,6,Milk Powder,Tonnes,3
ABA02C02,Dairy Imports,1993,1993,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C02,Dairy Imports,1994,1994,3,Cheese,Tonnes,15
ABA02C02,Dairy Imports,1994,1994,4,Butter,Tonnes,2
ABA02C02,Dairy Imports,1994,1994,5,Cream,Tonnes,7
ABA02C02,Dairy Imports,1994,1994,6,Milk Powder,Tonnes,7
ABA02C02,Dairy Imports,1994,1994,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C02,Dairy Imports,1995,1995,3,Cheese,Tonnes,12
ABA02C02,Dairy Imports,1995,1995,4,Butter,Tonnes,2
ABA02C02,Dairy Imports,1995,1995,5,Cream,Tonnes,11
ABA02C02,Dairy Imports,1995,1995,6,Milk Powder,Tonnes,6
ABA02C02,Dairy Imports,1995,1995,11,Drinking Milk & Buttermilk,Tonnes,1
ABA02C02,Dairy Imports,1996,1996,3,Cheese,Tonnes,17
ABA02C02,Dairy Imports,1996,1996,4,Butter,Tonnes,3
ABA02C02,Dairy Imports,1996,1996,5,Cream,Tonnes,14
ABA02C02,Dairy Imports,1996,1996,6,Milk Powder,Tonnes,10
ABA02C02,Dairy Imports,1996,1996,11,Drinking Milk & Buttermilk,Tonnes,1
ABA02C02,Dairy Imports,1997,1997,3,Cheese,Tonnes,17
ABA02C02,Dairy Imports,1997,1997,4,Butter,Tonnes,2
ABA02C02,Dairy Imports,1997,1997,5,Cream,Tonnes,14
ABA02C02,Dairy Imports,1997,1997,6,Milk Powder,Tonnes,20
ABA02C02,Dairy Imports,1997,1997,11,Drinking Milk & Buttermilk,Tonnes,2
ABA02C02,Dairy Imports,1998,1998,3,Cheese,Tonnes,15
ABA02C02,Dairy Imports,1998,1998,4,Butter,Tonnes,3
ABA02C02,Dairy Imports,1998,1998,5,Cream,Tonnes,14
ABA02C02,Dairy Imports,1998,1998,6,Milk Powder,Tonnes,4
