STATISTIC,Statistic Label,TLIST(A1),Year,C02064V02491,Product Type,UNIT,VALUE
ABA02C04,Dairy Exports,1999,1999,11,Drinking Milk & Buttermilk,Tonnes,11
ABA02C04,Dairy Exports,2000,2000,3,Cheese,Tonnes,82
ABA02C04,Dairy Exports,2000,2000,4,Butter,Tonnes,122
ABA02C04,Dairy Exports,2000,2000,5,Cream,Tonnes,3
ABA02C04,Dairy Exports,2000,2000,6,Milk Powder,Tonnes,173
ABA02C04,Dairy Exports,2000,2000,11,Drinking Milk & Buttermilk,Tonnes,13
ABA02C04,Dairy Exports,2001,2001,3,Cheese,Tonnes,108
ABA02C04,Dairy Exports,2001,2001,4,Butter,Tonnes,115
ABA02C04,Dairy Exports,2001,2001,5,Cream,Tonnes,3
ABA02C04,Dairy Exports,2001,2001,6,Milk Powder,Tonnes,84
ABA02C04,Dairy Exports,2001,2001,11,Drinking Milk & Buttermilk,Tonnes,18
ABA02C04,Dairy Exports,2002,2002,3,Cheese,Tonnes,107
ABA02C04,Dairy Exports,2002,2002,4,Butter,Tonnes,105
ABA02C04,Dairy Exports,2002,2002,5,Cream,Tonnes,2
ABA02C04,Dairy Exports,2002,2002,6,Milk Powder,Tonnes,70
ABA02C04,Dairy Exports,2002,2002,11,Drinking Milk & Buttermilk,Tonnes,15
ABA02C04,Dairy Exports,2003,2003,3,Cheese,Tonnes,91
ABA02C04,Dairy Exports,2003,2003,4,Butter,Tonnes,127
ABA02C04,Dairy Exports,2003,2003,5,Cream,Tonnes,2
ABA02C04,Dairy Exports,2003,2003,6,Milk Powder,Tonnes,91
ABA02C04,Dairy Exports,2003,2003,11,Drinking Milk & Buttermilk,Tonnes,15
ABA02C04,Dairy Exports,2004,2004,3,Cheese,Tonnes,101
ABA02C04,Dairy Exports,2004,2004,4,Butter,Tonnes,135
ABA02C04,Dairy Exports,2004,2004,5,Cream,Tonnes,2
ABA02C04,Dairy Exports,2004,2004,6,Milk Powder,Tonnes,88
ABA02C04,Dairy Exports,2004,2004,11,Drinking Milk & Buttermilk,Tonnes,22
ABA02C04,Dairy Exports,2005,2005,3,Cheese,Tonnes,110
ABA02C04,Dairy Exports,2005,2005,4,Butter,Tonnes,124
ABA02C04,Dairy Exports,2005,2005,5,Cream,Tonnes,7
ABA02C04,Dairy Exports,2005,2005,6,Milk Powder,Tonnes,103
ABA02C04,Dairy Exports,2005,2005,11,Drinking Milk & Buttermilk,Tonnes,40
ABA02C04,Dairy Exports,2006,2006,3,Cheese,Tonnes,126
ABA02C04,Dairy Exports,2006,2006,4,Butter,Tonnes,143
ABA02C04,Dairy Exports,2006,2006,5,Cream,Tonnes,2
ABA02C04,Dairy Exports,2006,2006,6,Milk Powder,Tonnes,130
ABA02C04,Dairy Exports,2006,2006,11,Drinking Milk & Buttermilk,Tonnes,8
ABA02C04,Dairy Exports,2007,2007,3,Cheese,Tonnes,134
ABA02C04,Dairy Exports,2007,2007,4,Butter,Tonnes,145
ABA02C04,Dairy Exports,2007,2007,5,Cream,Tonnes,2
ABA02C04,Dairy Exports,2007,2007,6,Milk Powder,Tonnes,128
ABA02C04,Dairy Exports,2007,2007,11,Drinking Milk & Buttermilk,Tonnes,8
ABA02C04,Dairy Exports,2008,2008,3,Cheese,Tonnes,154
ABA02C04,Dairy Exports,2008,2008,4,Butter,Tonnes,125
ABA02C04,Dairy Exports,2008,2008,5,Cream,Tonnes,1
ABA02C04,Dairy Exports,2008,2008,6,Milk Powder,Tonnes,95
ABA02C04,Dairy Exports,2008,2008,11,Drinking Milk & Buttermilk,Tonnes,8
ABA02C04,Dairy Exports,2009,2009,3,Cheese,Tonnes,159
ABA02C04,Dairy Exports,2009,2009,4,Butter,Tonnes,122
ABA02C04,Dairy Exports,2009,2009,5,Cream,Tonnes,2
ABA02C04,Dairy Exports,2009,2009,6,Milk Powder,Tonnes,81
ABA02C04,Dairy Exports,2009,2009,11,Drinking Milk & Buttermilk,Tonnes,8
ABA02C04,Dairy Exports,2010,2010,3,Cheese,Tonnes,163
ABA02C04,Dairy Exports,2010,2010,4,Butter,Tonnes,136
ABA02C04,Dairy Exports,2010,2010,5,Cream,Tonnes,3
ABA02C04,Dairy Exports,2010,2010,6,Milk Powder,Tonnes,105
ABA02C04,Dairy Exports,2010,2010,11,Drinking Milk & Buttermilk,Tonnes,9
ABA02C04,Dairy Exports,2011,2011,3,Cheese,Tonnes,167
ABA02C04,Dairy Exports,2011,2011,4,Butter,Tonnes,145
ABA02C04,Dairy Exports,2011,2011,5,Cream,Tonnes,3
ABA02C04,Dairy Exports,2011,2011,6,Milk Powder,Tonnes,128
ABA02C04,Dairy Exports,2011,2011,11,Drinking Milk & Buttermilk,Tonnes,8
ABA02C05,Variation in Dairy Stocks,1992,1992,3,Cheese,Tonnes,-7
ABA02C05,Variation in Dairy Stocks,1992,1992,4,Butter,Tonnes,-34
ABA02C05,Variation in Dairy Stocks,1992,1992,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1992,1992,6,Milk Powder,Tonnes,-144
ABA02C05,Variation in Dairy Stocks,1992,1992,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1993,1993,3,Cheese,Tonnes,3
ABA02C05,Variation in Dairy Stocks,1993,1993,4,Butter,Tonnes,9
ABA02C05,Variation in Dairy Stocks,1993,1993,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1993,1993,6,Milk Powder,Tonnes,-18
ABA02C05,Variation in Dairy Stocks,1993,1993,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1994,1994,3,Cheese,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1994,1994,4,Butter,Tonnes,9
ABA02C05,Variation in Dairy Stocks,1994,1994,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1994,1994,6,Milk Powder,Tonnes,15
ABA02C05,Variation in Dairy Stocks,1994,1994,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1995,1995,3,Cheese,Tonnes,1
ABA02C05,Variation in Dairy Stocks,1995,1995,4,Butter,Tonnes,-6
ABA02C05,Variation in Dairy Stocks,1995,1995,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1995,1995,6,Milk Powder,Tonnes,-71
ABA02C05,Variation in Dairy Stocks,1995,1995,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1996,1996,3,Cheese,Tonnes,6
ABA02C05,Variation in Dairy Stocks,1996,1996,4,Butter,Tonnes,18
ABA02C05,Variation in Dairy Stocks,1996,1996,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1996,1996,6,Milk Powder,Tonnes,40
ABA02C05,Variation in Dairy Stocks,1996,1996,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1997,1997,3,Cheese,Tonnes,16
ABA02C05,Variation in Dairy Stocks,1997,1997,4,Butter,Tonnes,-7
ABA02C05,Variation in Dairy Stocks,1997,1997,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1997,1997,6,Milk Powder,Tonnes,-37
ABA02C05,Variation in Dairy Stocks,1997,1997,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1998,1998,3,Cheese,Tonnes,10
ABA02C05,Variation in Dairy Stocks,1998,1998,4,Butter,Tonnes,-12
ABA02C05,Variation in Dairy Stocks,1998,1998,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1998,1998,6,Milk Powder,Tonnes,29
ABA02C05,Variation in Dairy Stocks,1998,1998,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1999,1999,3,Cheese,Tonnes,19
ABA02C05,Variation in Dairy Stocks,1999,1999,4,Butter,Tonnes,7
ABA02C05,Variation in Dairy Stocks,1999,1999,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,1999,1999,6,Milk Powder,Tonnes,-5
ABA02C05,Variation in Dairy Stocks,1999,1999,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2000,2000,3,Cheese,Tonnes,14
ABA02C05,Variation in Dairy Stocks,2000,2000,4,Butter,Tonnes,12
ABA02C05,Variation in Dairy Stocks,2000,2000,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2000,2000,6,Milk Powder,Tonnes,-61
ABA02C05,Variation in Dairy Stocks,2000,2000,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2001,2001,3,Cheese,Tonnes,13
ABA02C05,Variation in Dairy Stocks,2001,2001,4,Butter,Tonnes,14
ABA02C05,Variation in Dairy Stocks,2001,2001,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2001,2001,6,Milk Powder,Tonnes,30
ABA02C05,Variation in Dairy Stocks,2001,2001,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2002,2002,3,Cheese,Tonnes,8
ABA02C05,Variation in Dairy Stocks,2002,2002,4,Butter,Tonnes,29
ABA02C05,Variation in Dairy Stocks,2002,2002,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2002,2002,6,Milk Powder,Tonnes,50
ABA02C05,Variation in Dairy Stocks,2002,2002,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2003,2003,3,Cheese,Tonnes,22
ABA02C05,Variation in Dairy Stocks,2003,2003,4,Butter,Tonnes,12
ABA02C05,Variation in Dairy Stocks,2003,2003,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2003,2003,6,Milk Powder,Tonnes,18
ABA02C05,Variation in Dairy Stocks,2003,2003,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2004,2004,3,Cheese,Tonnes,14
ABA02C05,Variation in Dairy Stocks,2004,2004,4,Butter,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2004,2004,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2004,2004,6,Milk Powder,Tonnes,19
ABA02C05,Variation in Dairy Stocks,2004,2004,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2005,2005,3,Cheese,Tonnes,4
ABA02C05,Variation in Dairy Stocks,2005,2005,4,Butter,Tonnes,17
ABA02C05,Variation in Dairy Stocks,2005,2005,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2005,2005,6,Milk Powder,Tonnes,
ABA02C05,Variation in Dairy Stocks,2005,2005,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2006,2006,3,Cheese,Tonnes,7
ABA02C05,Variation in Dairy Stocks,2006,2006,4,Butter,Tonnes,-5
ABA02C05,Variation in Dairy Stocks,2006,2006,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2006,2006,6,Milk Powder,Tonnes,
ABA02C05,Variation in Dairy Stocks,2006,2006,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2007,2007,3,Cheese,Tonnes,12
ABA02C05,Variation in Dairy Stocks,2007,2007,4,Butter,Tonnes,-7
ABA02C05,Variation in Dairy Stocks,2007,2007,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2007,2007,6,Milk Powder,Tonnes,
ABA02C05,Variation in Dairy Stocks,2007,2007,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2008,2008,3,Cheese,Tonnes,28
ABA02C05,Variation in Dairy Stocks,2008,2008,4,Butter,Tonnes,-4
ABA02C05,Variation in Dairy Stocks,2008,2008,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2008,2008,6,Milk Powder,Tonnes,
ABA02C05,Variation in Dairy Stocks,2008,2008,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2009,2009,3,Cheese,Tonnes,9
ABA02C05,Variation in Dairy Stocks,2009,2009,4,Butter,Tonnes,-1
ABA02C05,Variation in Dairy Stocks,2009,2009,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2009,2009,6,Milk Powder,Tonnes,
ABA02C05,Variation in Dairy Stocks,2009,2009,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2010,2010,3,Cheese,Tonnes,20
ABA02C05,Variation in Dairy Stocks,2010,2010,4,Butter,Tonnes,-4
ABA02C05,Variation in Dairy Stocks,2010,2010,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2010,2010,6,Milk Powder,Tonnes,
ABA02C05,Variation in Dairy Stocks,2010,2010,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2011,2011,3,Cheese,Tonnes,23
ABA02C05,Variation in Dairy Stocks,2011,2011,4,Butter,Tonnes,-3
ABA02C05,Variation in Dairy Stocks,2011,2011,5,Cream,Tonnes,0
ABA02C05,Variation in Dairy Stocks,2011,2011,6,Milk Powder,Tonnes,
ABA02C05,Variation in Dairy Stocks,2011,2011,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C06,Dairy Products for Domestic Use,1992,1992,3,Cheese,Tonnes,19
ABA02C06,Dairy Products for Domestic Use,1992,1992,4,Butter,Tonnes,19
ABA02C06,Dairy Products for Domestic Use,1992,1992,5,Cream,Tonnes,24
ABA02C06,Dairy Products for Domestic Use,1992,1992,6,Milk Powder,Tonnes,9
ABA02C06,Dairy Products for Domestic Use,1992,1992,11,Drinking Milk & Buttermilk,Tonnes,615
ABA02C06,Dairy Products for Domestic Use,1993,1993,3,Cheese,Tonnes,19
ABA02C06,Dairy Products for Domestic Use,1993,1993,4,Butter,Tonnes,18
ABA02C06,Dairy Products for Domestic Use,1993,1993,5,Cream,Tonnes,21
ABA02C06,Dairy Products for Domestic Use,1993,1993,6,Milk Powder,Tonnes,11
ABA02C06,Dairy Products for Domestic Use,1993,1993,11,Drinking Milk & Buttermilk,Tonnes,612
ABA02C06,Dairy Products for Domestic Use,1994,1994,3,Cheese,Tonnes,19
ABA02C06,Dairy Products for Domestic Use,1994,1994,4,Butter,Tonnes,19
ABA02C06,Dairy Products for Domestic Use,1994,1994,5,Cream,Tonnes,28
ABA02C06,Dairy Products for Domestic Use,1994,1994,6,Milk Powder,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,1994,1994,11,Drinking Milk & Buttermilk,Tonnes,607
ABA02C06,Dairy Products for Domestic Use,1995,1995,3,Cheese,Tonnes,21
ABA02C06,Dairy Products for Domestic Use,1995,1995,4,Butter,Tonnes,19
ABA02C06,Dairy Products for Domestic Use,1995,1995,5,Cream,Tonnes,31
ABA02C06,Dairy Products for Domestic Use,1995,1995,6,Milk Powder,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,1995,1995,11,Drinking Milk & Buttermilk,Tonnes,606
ABA02C06,Dairy Products for Domestic Use,1996,1996,3,Cheese,Tonnes,24
ABA02C06,Dairy Products for Domestic Use,1996,1996,4,Butter,Tonnes,19
ABA02C06,Dairy Products for Domestic Use,1996,1996,5,Cream,Tonnes,33
ABA02C06,Dairy Products for Domestic Use,1996,1996,6,Milk Powder,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,1996,1996,11,Drinking Milk & Buttermilk,Tonnes,605
ABA02C06,Dairy Products for Domestic Use,1997,1997,3,Cheese,Tonnes,23
ABA02C06,Dairy Products for Domestic Use,1997,1997,4,Butter,Tonnes,19
ABA02C06,Dairy Products for Domestic Use,1997,1997,5,Cream,Tonnes,30
ABA02C06,Dairy Products for Domestic Use,1997,1997,6,Milk Powder,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,1997,1997,11,Drinking Milk & Buttermilk,Tonnes,602
ABA02C06,Dairy Products for Domestic Use,1998,1998,3,Cheese,Tonnes,20
ABA02C06,Dairy Products for Domestic Use,1998,1998,4,Butter,Tonnes,18
ABA02C06,Dairy Products for Domestic Use,1998,1998,5,Cream,Tonnes,34
ABA02C06,Dairy Products for Domestic Use,1998,1998,6,Milk Powder,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,1998,1998,11,Drinking Milk & Buttermilk,Tonnes,613
ABA02C06,Dairy Products for Domestic Use,1999,1999,3,Cheese,Tonnes,23
ABA02C06,Dairy Products for Domestic Use,1999,1999,4,Butter,Tonnes,16
ABA02C06,Dairy Products for Domestic Use,1999,1999,5,Cream,Tonnes,28
ABA02C06,Dairy Products for Domestic Use,1999,1999,6,Milk Powder,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,1999,1999,11,Drinking Milk & Buttermilk,Tonnes,614
ABA02C06,Dairy Products for Domestic Use,2000,2000,3,Cheese,Tonnes,22
ABA02C06,Dairy Products for Domestic Use,2000,2000,4,Butter,Tonnes,16
ABA02C06,Dairy Products for Domestic Use,2000,2000,5,Cream,Tonnes,31
ABA02C06,Dairy Products for Domestic Use,2000,2000,6,Milk Powder,Tonnes,16
ABA02C06,Dairy Products for Domestic Use,2000,2000,11,Drinking Milk & Buttermilk,Tonnes,604
ABA02C06,Dairy Products for Domestic Use,2001,2001,3,Cheese,Tonnes,22
ABA02C06,Dairy Products for Domestic Use,2001,2001,4,Butter,Tonnes,16
ABA02C06,Dairy Products for Domestic Use,2001,2001,5,Cream,Tonnes,25
ABA02C06,Dairy Products for Domestic Use,2001,2001,6,Milk Powder,Tonnes,12
ABA02C06,Dairy Products for Domestic Use,2001,2001,11,Drinking Milk & Buttermilk,Tonnes,609
ABA02C06,Dairy Products for Domestic Use,2002,2002,3,Cheese,Tonnes,22
ABA02C06,Dairy Products for Domestic Use,2002,2002,4,Butter,Tonnes,15
ABA02C06,Dairy Products for Domestic Use,2002,2002,5,Cream,Tonnes,20
ABA02C06,Dairy Products for Domestic Use,2002,2002,6,Milk Powder,Tonnes,10
ABA02C06,Dairy Products for Domestic Use,2002,2002,11,Drinking Milk & Buttermilk,Tonnes,611
ABA02C06,Dairy Products for Domestic Use,2003,2003,3,Cheese,Tonnes,25
ABA02C06,Dairy Products for Domestic Use,2003,2003,4,Butter,Tonnes,15
ABA02C06,Dairy Products for Domestic Use,2003,2003,5,Cream,Tonnes,19
ABA02C06,Dairy Products for Domestic Use,2003,2003,6,Milk Powder,Tonnes,10
ABA02C06,Dairy Products for Domestic Use,2003,2003,11,Drinking Milk & Buttermilk,Tonnes,621
ABA02C06,Dairy Products for Domestic Use,2004,2004,3,Cheese,Tonnes,27
ABA02C06,Dairy Products for Domestic Use,2004,2004,4,Butter,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,2004,2004,5,Cream,Tonnes,24
ABA02C06,Dairy Products for Domestic Use,2004,2004,6,Milk Powder,Tonnes,0
ABA02C06,Dairy Products for Domestic Use,2004,2004,11,Drinking Milk & Buttermilk,Tonnes,605
ABA02C06,Dairy Products for Domestic Use,2005,2005,3,Cheese,Tonnes,34
ABA02C06,Dairy Products for Domestic Use,2005,2005,4,Butter,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,2005,2005,5,Cream,Tonnes,19
ABA02C06,Dairy Products for Domestic Use,2005,2005,6,Milk Powder,Tonnes,
ABA02C06,Dairy Products for Domestic Use,2005,2005,11,Drinking Milk & Buttermilk,Tonnes,576
ABA02C06,Dairy Products for Domestic Use,2006,2006,3,Cheese,Tonnes,28
ABA02C06,Dairy Products for Domestic Use,2006,2006,4,Butter,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,2006,2006,5,Cream,Tonnes,31
ABA02C06,Dairy Products for Domestic Use,2006,2006,6,Milk Powder,Tonnes,
ABA02C06,Dairy Products for Domestic Use,2006,2006,11,Drinking Milk & Buttermilk,Tonnes,618
ABA02C06,Dairy Products for Domestic Use,2007,2007,3,Cheese,Tonnes,31
ABA02C06,Dairy Products for Domestic Use,2007,2007,4,Butter,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,2007,2007,5,Cream,Tonnes,28
ABA02C06,Dairy Products for Domestic Use,2007,2007,6,Milk Powder,Tonnes,
ABA02C06,Dairy Products for Domestic Use,2007,2007,11,Drinking Milk & Buttermilk,Tonnes,625
ABA02C06,Dairy Products for Domestic Use,2008,2008,3,Cheese,Tonnes,27
ABA02C06,Dairy Products for Domestic Use,2008,2008,4,Butter,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,2008,2008,5,Cream,Tonnes,27
ABA02C06,Dairy Products for Domestic Use,2008,2008,6,Milk Powder,Tonnes,
ABA02C06,Dairy Products for Domestic Use,2008,2008,11,Drinking Milk & Buttermilk,Tonnes,625
ABA02C06,Dairy Products for Domestic Use,2009,2009,3,Cheese,Tonnes,28
ABA02C06,Dairy Products for Domestic Use,2009,2009,4,Butter,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,2009,2009,5,Cream,Tonnes,25
ABA02C06,Dairy Products for Domestic Use,2009,2009,6,Milk Powder,Tonnes,
ABA02C06,Dairy Products for Domestic Use,2009,2009,11,Drinking Milk & Buttermilk,Tonnes,615
ABA02C06,Dairy Products for Domestic Use,2010,2010,3,Cheese,Tonnes,33
ABA02C06,Dairy Products for Domestic Use,2010,2010,4,Butter,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,2010,2010,5,Cream,Tonnes,24
ABA02C06,Dairy Products for Domestic Use,2010,2010,6,Milk Powder,Tonnes,
ABA02C06,Dairy Products for Domestic Use,2010,2010,11,Drinking Milk & Buttermilk,Tonnes,618
ABA02C06,Dairy Products for Domestic Use,2011,2011,3,Cheese,Tonnes,31
ABA02C06,Dairy Products for Domestic Use,2011,2011,4,Butter,Tonnes,14
ABA02C06,Dairy Products for Domestic Use,2011,2011,5,Cream,Tonnes,25
ABA02C06,Dairy Products for Domestic Use,2011,2011,6,Milk Powder,Tonnes,
ABA02C06,Dairy Products for Domestic Use,2011,2011,11,Drinking Milk & Buttermilk,Tonnes,625
ABA02C07,Dairy Products for Industrial Uses,1992,1992,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1992,1992,4,Butter,Tonnes,5
ABA02C07,Dairy Products for Industrial Uses,1992,1992,5,Cream,Tonnes,15
ABA02C07,Dairy Products for Industrial Uses,1992,1992,6,Milk Powder,Tonnes,9
ABA02C07,Dairy Products for Industrial Uses,1992,1992,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1993,1993,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1993,1993,4,Butter,Tonnes,5
ABA02C07,Dairy Products for Industrial Uses,1993,1993,5,Cream,Tonnes,12
ABA02C07,Dairy Products for Industrial Uses,1993,1993,6,Milk Powder,Tonnes,10
ABA02C07,Dairy Products for Industrial Uses,1993,1993,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1994,1994,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1994,1994,4,Butter,Tonnes,6
ABA02C07,Dairy Products for Industrial Uses,1994,1994,5,Cream,Tonnes,18
ABA02C07,Dairy Products for Industrial Uses,1994,1994,6,Milk Powder,Tonnes,13
ABA02C07,Dairy Products for Industrial Uses,1994,1994,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1995,1995,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1995,1995,4,Butter,Tonnes,6
ABA02C07,Dairy Products for Industrial Uses,1995,1995,5,Cream,Tonnes,22
ABA02C07,Dairy Products for Industrial Uses,1995,1995,6,Milk Powder,Tonnes,14
ABA02C07,Dairy Products for Industrial Uses,1995,1995,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1996,1996,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1996,1996,4,Butter,Tonnes,6
ABA02C07,Dairy Products for Industrial Uses,1996,1996,5,Cream,Tonnes,23
ABA02C07,Dairy Products for Industrial Uses,1996,1996,6,Milk Powder,Tonnes,14
ABA02C07,Dairy Products for Industrial Uses,1996,1996,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1997,1997,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1997,1997,4,Butter,Tonnes,6
ABA02C07,Dairy Products for Industrial Uses,1997,1997,5,Cream,Tonnes,20
ABA02C07,Dairy Products for Industrial Uses,1997,1997,6,Milk Powder,Tonnes,13
ABA02C07,Dairy Products for Industrial Uses,1997,1997,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1998,1998,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1998,1998,4,Butter,Tonnes,6
ABA02C07,Dairy Products for Industrial Uses,1998,1998,5,Cream,Tonnes,24
ABA02C07,Dairy Products for Industrial Uses,1998,1998,6,Milk Powder,Tonnes,14
ABA02C07,Dairy Products for Industrial Uses,1998,1998,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1999,1999,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,1999,1999,4,Butter,Tonnes,4
ABA02C07,Dairy Products for Industrial Uses,1999,1999,5,Cream,Tonnes,18
ABA02C07,Dairy Products for Industrial Uses,1999,1999,6,Milk Powder,Tonnes,13
ABA02C07,Dairy Products for Industrial Uses,1999,1999,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2000,2000,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2000,2000,4,Butter,Tonnes,4
ABA02C07,Dairy Products for Industrial Uses,2000,2000,5,Cream,Tonnes,21
ABA02C07,Dairy Products for Industrial Uses,2000,2000,6,Milk Powder,Tonnes,16
ABA02C07,Dairy Products for Industrial Uses,2000,2000,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2001,2001,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2001,2001,4,Butter,Tonnes,5
ABA02C07,Dairy Products for Industrial Uses,2001,2001,5,Cream,Tonnes,16
ABA02C07,Dairy Products for Industrial Uses,2001,2001,6,Milk Powder,Tonnes,12
ABA02C07,Dairy Products for Industrial Uses,2001,2001,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2002,2002,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2002,2002,4,Butter,Tonnes,4
ABA02C07,Dairy Products for Industrial Uses,2002,2002,5,Cream,Tonnes,11
ABA02C07,Dairy Products for Industrial Uses,2002,2002,6,Milk Powder,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2002,2002,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2003,2003,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2003,2003,4,Butter,Tonnes,4
ABA02C07,Dairy Products for Industrial Uses,2003,2003,5,Cream,Tonnes,10
ABA02C07,Dairy Products for Industrial Uses,2003,2003,6,Milk Powder,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2003,2003,11,Drinking Milk & Buttermilk,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2004,2004,3,Cheese,Tonnes,0
ABA02C07,Dairy Products for Industrial Uses,2004,2004,4,Butter,Tonnes,3
ABA02C07,Dairy Products for Industrial Uses,2004,2004,5,Cream,Tonnes,14
ABA02C07,Dairy Products for Industrial Uses,2004,2004,6,Milk Powder,Tonnes,0
